ID,Item Name,Category,Primary Ingredients,Origin/Context,Description
1,Dal,Staple,"Lentils, Spices",Nepal,"A soup made of black, red, or yellow lentils, usually tempered with ghee and jimbu."
2,Bhat,Staple,Steamed Rice,Nepal,"Plain boiled rice, the central component of the national dish."
3,Tarkari,Staple,Vegetables,Nepal,"A general term for spiced vegetable curry, often served with dal and bhat."
4,Dhido,Staple,Millet/Buckwheat flour,Pahari/Himalayan,"A thick, sugar-free porridge made by stirring flour into boiling water until semi-thick."
5,Tsampa,Staple,Roasted Barley flour,Sherpa/Tibetan,"Wholesome, nutty flour often mixed with butter tea or milk to form a dough."
6,Aato,Staple,Crushed Corn,Western Nepal,Coarsely ground corn boiled into a porridge-like consistency.
7,Baji,Staple,Beaten Rice,Newari,Flattened rice flakes used as a staple in Newari feasts and snacks.
8,Chiura,Staple,Beaten Rice,Nepal,"The Nepali term for beaten rice, widely used as a travel snack and in Samay Baji."
9,Syabaji,Snack,Puffed Rice,Newari,Parched or puffed rice often included in ceremonial snack sets.
10,Bhuja,Snack,Puffed Rice,Nepal,Common puffed rice used as a light snack or in chatpate.
11,Murai,Snack,Puffed Rice,Nepal,"Another term for puffed rice, particularly used in the Terai region."
12,Makai,Staple,Maize/Corn,Pahari,Corn is often roasted (poleko) or popped (khatte) as a primary cereal source.
13,Kodo,Staple,Finger Millet,Pahari,"A resilient grain used for dhido, roti, and traditional fermentation."
14,Phapar,Staple,Buckwheat,Himalayan,"A bitter, gluten-free grain used for pancakes (rikikur) and dhido."
15,Jau,Staple,Barley,Himalayan,A high-altitude staple used for tsampa and traditional brews.
16,Chhou,Staple,Naked Barley,Himalayan,A variety of barley adapted to the highest cultivated elevations.
17,Taichin Rice,Staple,Local Rice,Newari,A specific variety of rice preferred by Newars for its texture and aroma.
18,Anandi Rice,Staple,Sticky Rice,Tharu,A glutinous rice variety traditionally grown in the Terai for steaming.
19,Chamre,Staple,Fried Rice,Rai/Limbu,"Rice fried with ghee and turmeric, often served during celebrations."
20,Haja,Staple,Steamed Rice,Newari,A term for steamed rice in the Newari culinary tradition.
21,Gophuki,Staple,Puffed Rice,Newari,A specific variety of puffed rice used in ritual offerings.
