,Item Name,Category,Primary Ingredients,Origin/Context,Description
0,Dal,Staple,"Lentils, Spices",Nepal,"A soup made of black, red, or yellow lentils, usually tempered with ghee and jimbu."
1,Bhat,Staple,Steamed Rice,Nepal,"Plain boiled rice, the central component of the national dish."
2,Tarkari,Staple,Vegetables,Nepal,"A general term for spiced vegetable curry, often served with dal and bhat."
3,Dhido,Staple,Millet/Buckwheat flour,Pahari/Himalayan,"A thick, sugar-free porridge made by stirring flour into boiling water until semi-thick."
4,Tsampa,Staple,Roasted Barley flour,Sherpa/Tibetan,"Wholesome, nutty flour often mixed with butter tea or milk to form a dough."
5,Aato,Staple,Crushed Corn,Western Nepal,Coarsely ground corn boiled into a porridge-like consistency.
6,Baji,Staple,Beaten Rice,Newari,Flattened rice flakes used as a staple in Newari feasts and snacks.
7,Chiura,Staple,Beaten Rice,Nepal,"The Nepali term for beaten rice, widely used as a travel snack and in Samay Baji."
8,Syabaji,Snack,Puffed Rice,Newari,Parched or puffed rice often included in ceremonial snack sets.
9,Bhuja,Snack,Puffed Rice,Nepal,Common puffed rice used as a light snack or in chatpate.
10,Murai,Snack,Puffed Rice,Nepal,"Another term for puffed rice, particularly used in the Terai region."
11,Makai,Staple,Maize/Corn,Pahari,Corn is often roasted (poleko) or popped (khatte) as a primary cereal source.
12,Kodo,Staple,Finger Millet,Pahari,"A resilient grain used for dhido, roti, and traditional fermentation."
13,Phapar,Staple,Buckwheat,Himalayan,"A bitter, gluten-free grain used for pancakes (rikikur) and dhido."
14,Jau,Staple,Barley,Himalayan,A high-altitude staple used for tsampa and traditional brews.
15,Chhou,Staple,Naked Barley,Himalayan,A variety of barley adapted to the highest cultivated elevations.
16,Taichin Rice,Staple,Local Rice,Newari,A specific variety of rice preferred by Newars for its texture and aroma.
17,Anandi Rice,Staple,Sticky Rice,Tharu,A glutinous rice variety traditionally grown in the Terai for steaming.
18,Chamre,Staple,Fried Rice,Rai/Limbu,"Rice fried with ghee and turmeric, often served during celebrations."
19,Haja,Staple,Steamed Rice,Newari,A term for steamed rice in the Newari culinary tradition.
20,Gophuki,Staple,Puffed Rice,Newari,A specific variety of puffed rice used in ritual offerings.
21,Khichdi,Staple,Rice & Lentils,Nepal,"A soft, one-pot dish of rice and lentils, often used as comfort food."
22,Jaaulo,Staple,Rice & Turmeric,Nepal,"A very soft, lightly spiced rice porridge used for children or the elderly."
23,Dhakane,Staple,Sweetened Rice,Pahari,"Rice sautéed in ghee and sugar, then cooked to a thick consistency."
24,Puwa,Staple,Rice Flour,Nepal,Coarsely ground rice fried in ghee and sugar; a traditional festive snack.
25,Chamal ko Puwa,Staple,Rice Flour,Nepal,A variant of puwa made specifically from rice flour rather than grains.
26,Sattu,Staple,Roasted Grain flour,Nepal,"A nutritious flour made from roasted gram, barley, or maize, eaten with water or milk."
27,Makai Bhuja,Snack,Roasted Corn,Nepal,"Corn kernels roasted until crunchy, a staple rural lunch."
28,Khatte,Snack,Roasted Rice,Pahari,Brown rice roasted until it pops; often eaten for breakfast with tea.
29,Gahu,Staple,Wheat,Nepal,"Wheat is the second most important cereal, primarily used for roti and pitha."
30,Maida,Staple,Refined Flour,Nepal,"Fine wheat flour used for making momos, puris, and various sweets."
31,Ata,Staple,Whole Wheat flour,Nepal,Standard whole wheat flour used for daily rotis and chapatis.
32,Besan,Staple,Gram Flour,Nepal,Chickpea flour used as a thickener and for making pakoras and baras.
33,Rawa,Staple,Semolina,Nepal,"Used for making haluwa, laddus, and the Kumaoni-style singhal."
34,Sabudana,Staple,Tapioca,Nepal,Used for making kheer during religious fasting (vrat).
35,Kodo ko Roti,Bread,Millet flour,Pahari,"A dark, dense flatbread made from finger millet flour."
36,Phapar ko Roti,Bread,Buckwheat flour,Pahari,"A slightly bitter, earthy flatbread common in the hills."
37,Makai ko Roti,Bread,Maize flour,Pahari,"A hearty, crumbly flatbread made from cornmeal."
38,Sel Roti,Bread/Sweet,Rice flour,Nepal,"A ring-shaped, deep-fried rice bread that is crispy and sweet."
39,Sukkha Roti,Bread,Wheat flour,Nepal,"A simple, dry-roasted flatbread similar to a tortilla."
40,Chapati,Bread,Wheat flour,Nepal,"A soft, thin wheat bread cooked on a tawa griddle."
41,Puri,Bread,Wheat flour,Nepal,"A deep-fried, puffed-up wheat bread served with vegetable curry."
42,Bara,Bread/Snack,Black Lentils,Newari,"A savory lentil pancake, often topped with meat or eggs."
43,Wo,Bread/Snack,Lentil flour,Newari,"A Newari term for the lentil patty, a central part of ceremonial feasts."
44,Chatamari,Bread/Snack,Rice flour,Newari,"Often called the ""Nepali Pizza,"" a thin rice crepe with various toppings."
45,Babari,Bread,Rice flour,Pahari,"A traditional rice pancake, the ancestor of the modern sel roti."
46,Dhungre Roti,Bread,Buckwheat,Himalayan,A thick buckwheat pancake served with a spicy timur dip.
47,Tingmo,Bread,Wheat flour,Sherpa/Tibetan,"A soft, fluffy steamed bun without filling, used to scoop up stews."
48,Kur,Bread,Wheat flour,Sherpa,"A flat, round Tibetan-style bread cooked in a frying pan."
49,Gurung Bread,Bread,Wheat flour,Gurung,"A deep-fried, slightly sweet bread common in the Annapurna region."
50,Singhal,Bread,Semolina,Kumaon/Nepal,A semolina-based variation of sel roti found in western Nepal.
51,Fini Roti,Bread/Sweet,Wheat flour,Festive,"A multi-layered, flaky fried bread served during Tihar."
52,Patre,Bread,Wheat flour,Festive,"A layered, crunchy fried bread prepared for major festivals."
53,Gilo Roti,Bread,Rice/Wheat batter,Pahari,"A soft, moist pancake made from a liquid batter of rice and wheat."
54,Daal Puri,Bread,Lentils & Flour,Terai,A paratha-like snack filled with spiced gram pulses.
55,Malpuwa,Bread/Sweet,Flour & Milk,Nepal,Deep-fried sweet pancakes soaked in sugar syrup.
56,Thakuwa,Bread/Sweet,Wheat flour,Terai,Cookies made from wheat flour and jaggery for the Chhath festival.
57,Pitha,Bread/Sweet,Rice flour,Terai,A wide variety of steamed or fried rice-based snacks and sweets.
58,Litti,Bread/Snack,Wheat & Gram,Eastern Terai,Roasted wheat balls stuffed with spiced sattu (gram flour).
